244,The Foot Fist Way
245,Nacho Libre
246,Semi-Pro
247,Pineapple Express
248,Super Troopers
256,Scott Pilgrim vs. the World
257,Attack the Block
258,Get Smart
259,Starsky & Hutch
260,30 Minutes or Less
261,MacGruber
262,Bad Boys
263,Rush Hour 2
264,Get Rich or Die Tryin'
265,Bad Boys
266,Your Highness
267,Fear and Loathing in Las Vegas
268,"The Russians Are Coming, the Russians Are Coming"
269,1941
271,A Clockwork Orange
272,Apocalypse Now
273,Platoon
274,Hamburger Hill
275,The Hurt Locker
276,Three Kings
277,Green Street Hooligans
278,Severe Clear
279,The War Tapes
280,The Trials of Henry Kissinger
281,Standard Operating Procedure
282,Iraq in Fragments
283,Crossing the Line
284,Rachel Getting Married
337,And the Band Played On
338,XXY
339,The Brandon Teena Story
580,Dawn of the Dead
621,Black Hawk Down
622,The Kingdom
285,Cold Weather
286,Meek's Cutoff
287,Get Low
288,The Virginity Hit
290,Star 80
291,Boogie Nights
292,The Trotsky
293,Dirty Girl
294,Assassination of a High School President
295,Flirting
296,Dead Poets Society
297,A Beautiful Mind
298,Finding Forrester
299,Remember Me
300,21
301,The Pursuit of Happyness
302,Thank You For Smoking
303,About a Boy
304,True Adolescents
305,Slums of Beverly Hills
306,Henry Poole Is Here
307,Greenberg
623,Green Zone
308,Please Give
309,The Squid and the Whale
310,The Science of Sleep
311,While You Were Sleeping
312,Uptown Girls
313,The Break-Up
314,How to Lose a Guy in 10 Days
315,Peep World
316,Compromising Positions
317,A Film Unfinished
318,Just Like Heaven
319,You've Got Mail
320,Serendipity
321,P.S. I Love You
322,Premonition
323,Meet The Fockers
324,Wedding Crashers
325,Guess Who
326,Monster-in-Law
327,Little Fockers
328,Friends With Money
329,The Devil Wears Prada
330,The Holiday
331,Georgia Rule
333,Get Real
332,Notebook
340,Monster
341,Groundhog Day
342,Somewhere
343,About Schmidt
344,John Q
345,Stepmom
346,Extraordinary Measures
347,My Life Without Me
348,Ordinary People
349,The Last Kiss
350,Up in the Air
352,La Nana (The Maid)
353,Be With Me
354,The White Ribbon (Das weisse Band)
355,The Queen
356,Shakespeare in Love
357,Elizabeth
358,Mrs. Brown
359,My Fair Lady
360,Funny Face
361,Sabrina
362,Hors de Prix (Priceless)
363,Shark Tale
364,Mr. Popper's Penguins
365,Legend of the Guardians: The Owls of Ga'Hoole
366,Ice Age 2: The Meltdown
367,Ice Age: Dawn of the Dinosaurs (Ice Age 3)
368,Mulan
369,Beauty and the Beast
370,Snow White and the Seven Dwarfs
371,The Little Mermaid 3D
372,Shrek the Third
373,E.T. The Extra-Terrestrial
449,American Wedding
610,Where the Buffalo Roam
624,The Men Who Stare at Goats
374,Real Steel
375,Meet the Robinsons
376,Chicken Little
377,Monsters vs. Aliens
378,The Wizard of Oz
379,Mary Poppins
380,Mr. Magorium's Wonder Emporium
381,Alice in Wonderland
382,The Fall
383,Stardust
384,Pan's Labyrinth
385,The Brothers Grimm
386,Lemony Snicket's A Series of Unfortunate Events
387,Penelope
388,The Sound of Music
389,Harry Potter and the Goblet of Fire
390,Harry Potter and the Order of the Phoenix
391,Harry Potter and the Chamber of Secrets
392,Harry Potter and the Deathly Hallows - Part 1
393,Harry Potter and the Deathly Hallows - Part 2
394,Miracle on 34th Street
395,The Polar Express
396,The Elephant Man
397,Sleepy Hollow
399,Burke and Hare
400,The Addams Family
401,Gremlins
404,Robots
405,Over the Hedge
406,Barnyard
407,Stuart Little 2
408,G-Force
409,Charlotte's Web
410,Alvin and the Chipmunks
414,The Wild
415,Madagascar: Escape 2 Africa
416,Wanted
417,The Pacifier
418,Salt
419,Date Night
452,The Bourne Supremacy
453,xXx: State of the Union
454,XXX
456,Marvel's The Avengers
659,Three Idiots
660,Rain Man
420,Killers
422,Bee Movie
423,Gnomeo and Juliet
424,Megamind
425,Short Circuit
426,Kung Fu Panda: Secrets of the Furious Five
427,101 Dalmatians II - Patch's London Adventure
428,Cats & Dogs
429,Racing Stripes
430,The Blues Brothers
431,Fast Times At Ridgemont High
432,Office Space
433,Extract
434,"I Love You, Man"
435,Idiocracy
436,Mr. Woodcock
437,Role Models
438,Date Movie
439,Scary Movie
440,American Pie Presents - Band Camp
441,Stick It
442,Hall Pass
443,Wild Child
444,Tamara Drewe
445,Adventureland
446,Just Friends
447,Hot Tub Time Machine
448,Better Off Dead
457,The Bourne Legacy
458,Shooter
459,Taken
460,Brighton Rock
461,Control
462,I'm Not There
463,The Runaways
464,Me Without You
465,Desert Flower
467,Norma Rae
468,She's the Man
469,Goal! The Dream Begins (Goal!: The Impossible Dream)
470,Gracie
471,Mean Girls
472,Goal II: Living the Dream
473,Facing the Giants
474,Chariots of Fire
475,Salaam Bombay!
476,Water
477,Outsourced
478,Brick Lane
479,Pride and Prejudice
480,The Notebook
481,The English Patient
482,The Duchess
483,Australia
484,Gattaca
485,Equilibrium
486,Minority Report
487,THX 1138
488,Heavenly Creatures
489,Sirens
490,Mona Lisa Smile
491,Skateland
492,Faces
494,Judy Berlin
495,Easy A
496,The Descendants
497,Heathers
731,Guess Who's Coming to Dinner
732,John Tucker Must Die
498,Another Earth
500,Diary of a Wimpy Kid
502,Garden State
503,Charlie Bartlett
504,Donnie Darko
505,Half Nelson
506,Thirteen
507,Precious: Based on the Novel Push by Sapphire
509,Gloria
512,Eyes Wide Shut
513,Monogamy
514,Shame
515,Before Sunrise
516,When Harry Met Sally
517,Last Chance Harvey
518,Melinda and Melinda
519,500 Days of Summer
520,The Truman Show
521,Requiem for a Dream
522,Cruel Intentions
523,In the Valley of Elah
524,Fair Game
525,Blow
527,Harold & Kumar Go to White Castle
528,Rat Race
529,Scary Movie 4
530,Sydney White
531,Enter the Void (Soudain le vide)
569,Due Date
570,Three Men and a Baby (3 Men and a Baby)
571,Wayne's World 2
572,Austin Powers: International Man of Mystery
573,Bill & Ted's Excellent Adventure
574,A Night at the Roxbury
581,Kick-Ass
532,Get Him to the Greek
533,Couples Retreat
534,Grown Ups
535,The Other Woman
536,"You, Me and Dupree"
537,Old Dogs
539,Orgazmo
540,Finding Bliss
542,The Amateurs (The Moguls) (Dirty Movie)
545,The Manchurian Candidate
546,Head of State
547,Man of the Year
550,Maybe Baby
551,Annie Hall
552,City Slickers
553,The Bad News Bears
554,Bad Santa
555,Anchorman - The Legend Of Ron Burgundy
556,Elf
557,Kicking & Screaming
558,The Longest Yard
559,Tropic Thunder
560,Observe and Report
561,School of Rock
562,Tenacious D in: The Pick of Destiny
563,You Don't Mess with the Zohan
564,Beerfest
565,Reno 911!: Miami
566,Paul Blart: Mall Cop
567,Police Academy
568,The Hangover Part II
575,Hard Eight (Sydney)
576,I Heart Huckabees
577,Splash
578,Pretty in Pink
582,Nick and Norah's Infinite Playlist
661,Pi
662,One Flew Over the Cuckoo's Nest
663,Proof
664,Akeelah and the Bee
665,Sweet November
666,Message in a Bottle
667,Twilight
668,Ocean's Eleven
583,Super
584,Super 8
585,Knight & Day
586,The Naked Gun 2 1/2: The Smell of Fear
587,The Dukes of Hazzard
588,Undercover Brother
589,Take the Money and Run
590,Hot Shots!
591,Hot Shots! Part Deux
592,Rush Hour
593,Miami Vice
594,Cop Out
595,Blue Streak
596,Rush Hour 3
597,Shanghai Noon
598,8 Mile
599,Waist Deep
600,Hustle & Flow
601,Four Brothers
602,Spider-Man 3
603,Little Man
604,Black Knight
605,A Knight's Tale
606,Land of the Lost
607,Gonzo: The Life and Work of Hunter S. Thompson
608,Spun
609,Easy Rider
611,The Rum Diary
612,Pulp Fiction
613,American Psycho
614,Taxi Driver
615,V for Vendetta
616,The Deer Hunter
625,The Fighter
626,Syriana
627,The Football Factory
628,Fight Club
629,American History X
630,The Warriors
631,Another Happy Day
632,Margot at the Wedding
633,28 Days
634,Sherrybaby
635,Into Temptation
636,Quiet City
637,Gone Baby Gone
638,Wagon Master
639,Old Joy
640,McCabe & Mrs. Miller
641,Dead Man
642,True Grit
643,Secondhand Lions
644,Grumpy Old Men
645,Catfish
646,Sex Drive
647,Middle Men
648,Magnolia
649,54
779,The Other Boleyn Girl
650,Good Neighbors
653,Killer Joe
654,Mystery Team
655,Brick
656,The History Boys
657,Mr. Holland's Opus
658,School Ties
669,Ocean's Twelve
670,Ocean's Eleven
671,Ocean's Thirteen
672,Hitch
673,The Company Men
674,Seven Pounds
676,I Am Sam
677,Lord of War
678,Erin Brockovich
679,Two For the Money
680,Love and Other Drugs
681,Meet Bill
682,Big Daddy
683,The Family Man
684,The Puffy Chair
685,Humpday
686,The Future
687,No Strings Attached
688,Lovely & Amazing
689,Sunshine Cleaning
690,City Island
691,Amelie
692,Waking Life
693,Love Actually
694,Two Weeks Notice
695,Brothers
696,Material Girls
697,The Nanny Diaries
893,Made of Honor
894,Visioneers
895,Let's Go To Prison
1219,Abel Raises Cain
698,From Prada to Nada
699,Sweet Home Alabama
700,Just Married
701,What Women Want
702,The Dilemma
703,27 Dresses
704,The Ugly Truth
705,Bride Wars
706,Sex and the City
707,As Good As It Gets
708,The House of Yes
709,Wonder Boys
710,Down and Out in Beverly Hills
711,Triumph des Willens (Triumph Of The Will)
712,Harlan - Im Schatten von Jud Suss (Harlan: In the Shadow of Jew Seuss)
713,"The Wonderful, Horrible Life of Leni Riefenstahl"
714,Aimee & Jaguar
715,13 Going on 30
716,Over Her Dead Body
717,Sleepless in Seattle
718,The Shop Around the Corner
719,August Rush
720,A Lot Like Love
721,A Walk to Remember
723,Catch and Release
724,Final Destination
725,Final Destination 2
726,Final Destination 3
727,InSight
728,50 First Dates
729,Pretty Woman
730,Dinner for Schmucks
733,Valentine's Day
734,The Princess Diaries
736,The Princess Diaries 2 - Royal Engagement
737,Notting Hill
738,Bridget Jones's Diary
739,Something's Gotta Give
740,Freaky Friday
741,My Perestroika
804,Rocky
805,Jimmy Neutron - Boy Genius
806,Aliens in the Attic
742,Vidal Sassoon: The Movie
743,The Way
744,Ali
745,GoodFellas
746,Summer Storm (Sommersturm)
747,Tomboy
749,Perfume: The Story of a Murderer
750,Into The Abyss
751,Aileen - Life and Death of a Serial Killer
752,The Silence of the Lambs
753,What About Bob?
754,Bruce Almighty
755,The Virgin Suicides
756,La Dolce Vita
757,The Savages
1044,"It's a Mad, Mad, Mad, Mad World"
1045,Bean
1046,The Cannonball Run
1047,Superhero Movie
